country,area,time,agri_emp,industry_emp,services_emp,agri_value_add,industry_value_add,services_value_add,gdp_growth,gdp_constant,gdp_per_capita_constant,gdp_ppp_constant,urban_population,rural_population,total_population,unemployment_total,unemployment_male,unemployment_female
DEU,West Europe,YR2014,0.012683578,0.519852189,0.743276787,0.055971004,0.456715167,0.681605283,0.544599533,0.9191,0.495073217,0.706056684,0.58364563,0.41635437,0.974503606,0.12333887,0.149078727,0.092630712
DEU,West Europe,YR2015,0.011348466,0.503231749,0.753236983,0.019533083,0.461308655,0.683242602,0.480645157,0.933048276,0.498682759,0.712834724,0.583895468,0.416104532,0.983009938,0.108388704,0.136097152,0.075751338
DEU,West Europe,YR2016,0.008678237,0.48891959,0.762948122,0.02181021,0.482637332,0.669573604,0.546422634,0.952575862,0.506969785,0.728396201,0.584495078,0.415504922,0.991008231,0.087624585,0.114321608,0.055990119
DEU,West Europe,YR2017,0.007676903,0.489842972,0.763197179,0.047220385,0.47770015,0.670514361,0.586547747,0.977682759,0.520679777,0.754140986,0.585419477,0.414580523,0.994733187,0.072259136,0.100502513,0.038699053
DEU,West Europe,YR2018,0.006675569,0.487072914,0.765438314,0.020249327,0.470481663,0.682203806,0.444470269,0.988841379,0.525458269,0.763114094,0.586693649,0.413306351,0.997738687,0.056893688,0.086683417,0.021819679
DEU,West Europe,YR2019,0.005340457,0.479686033,0.770418317,0.035161427,0.456606161,0.690062117,0.441750625,1,0.530552121,0.77267939,0.58829261,0.41170739,1,0.04692691,0.074539363,0.014409222
ESP,West Europe,YR2010,0.105140181,0.285780178,0.800796831,0.308980397,0.277647745,0.830015531,0.362210202,0.330482757,0.278174605,0.413868195,0.614925299,0.385074701,0.558851104,0.74127907,0.747487437,0.734870317
ESP,West Europe,YR2011,0.101802401,0.229455187,0.833416289,0.299390679,0.227495198,0.880443542,0.275104673,0.327693102,0.273882825,0.404466679,0.620696547,0.379303453,0.560854126,0.804817276,0.809463987,0.799917662
ESP,West Europe,YR2012,0.105807737,0.179132003,0.857569704,0.305196579,0.178836994,0.910235009,0.083933823,0.316534481,0.26288952,0.38038489,0.626417828,0.373582172,0.56122088,0.946013289,0.957286432,0.932482503
ESP,West Europe,YR2013,0.108477978,0.136657392,0.878485945,0.340669983,0.143728025,0.908552348,0.219758603,0.313744826,0.258967505,0.371793375,0.632189077,0.367810923,0.559372373,1,1,1
